MLS,Property,Status,Type,City,Sold Price,Sold Date,List Price,List Date,Bed,Bath,Kitchen,Tax,year,Floor,Lot,Levels,Parking,Photos,Address,GPS,URL,Agency,Description,Feature,Influence,Amenities
R2724128,2880 LAKEWOOD DRIVE,Active,Duplex,Vancouver,not sold,not sold,"$1,598,000",-,3,3,1,"$5,064 in 2022",2022,"1,504",,-,Garage; Single,0,"2880 Lakewood St, Vancouver, BC V5N 4V5, Canada","49.25876, -123.06182",https://www.bccondosandhomes.com/listing/r2724128-2880-lakewood-drive,Macdonald Commercial Real Estate Services Ltd.,"NEW CONSTRUCTION DUPLEX by PD Moore Homes, Lakeside Living at Trout Lake. This brand new front unit located across the street from Trout Lake with natural light/views. Both homes have 3 bdrooms/ 2.5 bathrooms & dedicated work spaces including a balcony. The interior finishes are clean, modern solid, and include an gas range, fridge, and an integrated scurity system. Each unit has a 1-car garage which has been fitted to store tools,/ bikes/ seasonal items. The front unit has an open den perfect for an office/ second sitting room. A rare and move-in ready duplex. These modern styled inspired homes have been crafted to ensure every tasteful touch and thoughtful feature will continue to delight for generations - redefining the Vncouver Duplex. Occupancy Certificate issued and Strata is complt",Clothes Washer/Dryer ClthWsh/Dryr/Frdg/Stve/DW Dishwasher Drapes/Window Coverings Garage Door Opener Range Top Refrigerator Security System Sprinkler - Fire,-, Playground Recreation Center Restaurant
R2700132,1750 MCKENZIE ROAD,Active,Townhouse,Abbotsford,not sold,not sold,"$464,000",-,2,1,-,"$1,490 in 2021",1992,959,,-,Open,32,"1750 McKenzie Rd #302, Abbotsford, BC V2S 3Z3, Canada","49.03416, -122.28203",https://www.bccondosandhomes.com/listing/r2700132-302-1750-mckenzie-road,RE/MAX Little Oak Realty (Abbotsford),"Welcome to Alderglen! This 2 Bed/1 Bath CORNER UNIT has a Nice Private Setting backing onto a Gorgeous Greenbelt. Rancher Style Unit with No Stairs. Plenty of Fresh Updates including; New Paint, New Flooring in both Bedrooms & New Tile in the Bathroom Shower. With a Large Laundry Room equipped with extra shelving for Storage or Pantry, plus an additional Private Storage Room next to the Front Door. With a nice size Patio ready for Summer BBQ's! This Complex is Family Friendly and allows 1 Cat or Dog under 25lbs. Location is Amazing, close to schools, UFV, Shopping and Public Transit. This one is a Must See!",ClthWsh/Dryr/Frdg/Stve/DW Microwave Storage Shed,Greenbelt Private Setting Shopping Nearby, In Suite Laundry Storage
R2724113,14032 KALMAR ROAD,Active,Fourplex,Surrey,not sold,not sold,"$1,750,000",-,6,6,4,"$7,855 in 2021",1978,"5,094",,-,"Add. Parking Avail.,Carport; Multiple",40,"14030 Kalmar Rd, Surrey, BC V3R 7E9, Canada","49.20637, -122.83418",https://www.bccondosandhomes.com/listing/r2724113-1403014032-kalmar-road,Stilhavn Real Estate Services,"INVESTOR ALERT!!! Fourplex in very good condition on huge 134.9 x 73.26 lot!!! Property has been meticulously maintained. A rare opportunity to own one of the last stratified properties in this up and coming neighbourhood, or tear down and build your dream single family home. Call today for a private showing - 24 hour notice required.",-,Central Location Recreation Nearby Treed, In Suite Laundry
R2712045,3035 ASHBROOK PLACE,Active,House,Coquitlam,not sold,not sold,"$949,000",-,2,2,1,"$2,824 in 2021",1975,"1,224",2625 SqFt.,-,"Carport; Single,Garage; Single",39,"3035 Ashbrook Pl, Coquitlam, BC V3C 4A8, Canada","49.26522, -122.79346",https://www.bccondosandhomes.com/listing/r2712045-3035-ashbrook-place,RE/MAX Sabre Realty Group,"This is a fantastic detached home in a quiet neighbourhood. Updated kitchen in 2021, and roof done in 2007. This home has 2 very large bedrooms upstairs and plenty of storage inside and out. The yard backs onto a little park with playground, it has great outdoor spaces for enjoying your private oasis. It is 5 minutes to the freeway and 5 minutes to Coquitlam Centre and SkyTrain Station. School Catchments are Meadowbrook Elementary, Hillcrest Middle and École Dr. Charles Best Secondary.",ClthWsh/Dryr/Frdg/Stve/DW Storage Shed,Cul-de-Sac Private Setting Private Yard Recreation Nearby Shopping Nearby, Garden In Suite Laundry Storage
R2724073,103 - 2050 COQUITLAM AVENUE,Active,Apartment,Port Coquitlam,not sold,not sold,"$449,900",-,1,1,1,"$1,260 in 2022",1988,793,,-,Garage Underbuilding,29,"2050 Coquitlam Ave #103, Port Coquitlam, BC V3B 1J5, Canada","49.26715, -122.77158",https://www.bccondosandhomes.com/listing/r2724073-103-2050-coquitlam-avenue,Keller Williams Elite Realty,"Spacious open plan in this convenient ground floor condo. Located close to Coquitlam Centre Mall, restaurants, parks, Coquitlam River, Lafarge Lake, pool & rec centre. A cozy gas fireplace adds warmth in the spacious open living area with sliding doors out onto a large sundeck looking out onto a quiet road with no thru traffic. Modernized kitchen offers stainless steel appliances, updated counters & tile floor. The generous sized bedroom also offers access to sundeck. Add the convenience of a big laundry room and you have the formula for a great layout for a 1 bedroom suite. Professionally painted throughout and a well maintained building. There is secure parking & storage. Pet friendly but no rentals allowed.",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, In Suite Laundry
R2723949,6406 WADE ROAD,Active,House,Delta,not sold,not sold,"$1,399,999",-,4,3,2,,1985,"2,268",5921 SqFt.,-,"Garage; Triple,Open,RV Parking Avail.",39,"6406 Wade Rd, Delta, BC V4E 3H9, Canada","49.11966, -122.89569",https://www.bccondosandhomes.com/listing/r2723949-6406-wade-road,Royal LePage - Wolstencroft,"Sunshine Hills home on a corner lot with a triple car garage, RV parking and 1 bedroom suite! Located close to Sunshine Hills & Sunshine Village shopping centers, with Safeway, Starbucks, Browns Social House, Subway, and many other retailers nearby. Watershed Park (Delta's largest park) and Wade Road park just a short walk away. Desirable schools Cougar Canyon Elementary and Seaquam Secondary catchment. Minutes from Highway 91 and transit easily accessible on 64th.",Clothes Dryer Clothes Washer ClthWsh/Dryr/Frdg/Stve/DW,Central Location Private Yard Recreation Nearby Shopping Nearby,-
R2723382,1414 PEMBERTON FARM ROAD,Active,House,Pemberton,not sold,not sold,"$2,599,000",-,5,4,1,"$5,555 in 2022",1992,"5,428",40075 SqFt.,-,"Add. Parking Avail.,Garage; Double,Open",26,1414 Pemberton Farm Road,,https://www.bccondosandhomes.com/listing/r2723382-1414-w-pemberton-farm-road,Engel & Volkers Whistler,"This grand 5 bed/4 bath estate home is nicely situated on a .921 acre private flat lot, located at the end of a quiet road and steps to the Lillooet River trail and beach. This sunny south facing property is fenced, beautifully treed and offers exceptional privacy and seclusion while still being close to town. The spacious home is perfect for entertaining with two living rooms, a dining room, sunny decks, covered patio, inground swimming pool, hot tub, green house, irrigated gardens and putting green. The full height unfinished basement provides tons of storage, studio space and a great hangout to play pool/ping pong for kids and adults alike. Bonus self contained 1 bdrm suite is located above the double garage for nightly or long term rentals, and has plenty of extra parking.",ClthWsh/Dryr/Frdg/Stve/DW Hot Tub Spa/Swirlpool,Central Location Private Yard Recreation Nearby Rural Setting Ski Hill Nearby Treed, Garden Pool; Outdoor Storage Swirlpool/Hot Tub
R2724005,206 - 8772 MARINE DRIVE,Active,Apartment,Vancouver,not sold,not sold,"$565,000",-,2,2,1,"$1,408 in 2022",1998,"1,096",,-,Garage Underbuilding,35,"8772 SW Marine Dr #206, Vancouver, BC V6P 6A4, Canada","49.20611, -123.14184",https://www.bccondosandhomes.com/listing/r2724005-206-8772-sw-marine-drive,Sutton Group Seafair Realty,"This great two bedroom, 2 bathroom unit has more storage than I have ever seen. There is a storage locker in the unit as well as below in the garage. Additional storage is in the laundry closet as well as an entry way closet. Master bedroom has dual closets with an ensuite. The second bedroom has a beautiful murphy bed that becomes an office space if not being used. The main living space has a gas fireplace in the living room and kitchen window. This suite has much to offer with access to shopping, transit, major roadways and access to downtown.",Clothes Washer/Dryer Fireplace Insert Garage Door Opener Oven - Built In Range Top Refrigerator,Adult Oriented Central Location Gated Complex Recreation Nearby Shopping Nearby, Elevator Workshop Attached
R2722935,8488 GRAND VIEW DRIVE,Active,House,Chilliwack,not sold,not sold,"$1,699,900",-,3,4,1,"$7,193 in 2022",1991,"6,711",122825 SqFt.,-,"Carport; Single,Garage; Double,RV Parking Avail.",23,"8488 Grand View Dr, Chilliwack, BC V2R 4A2, Canada","49.15588, -122.01371",https://www.bccondosandhomes.com/listing/r2722935-8488-grand-view-drive,eXp Realty (Branch),"Come, fall in love!! This dream family home has a long gated driveway surrounded by beautiful majestic trees. You got over 2.80 acres of secluded land with mountains and panoramic valley view. Enjoy multiple decks for entertainment and an indoor swimming pool. It's sitting at one of the best spots on the Chilliwack Mountain with a gazebo for you to relax while observing and listing to nature. It comes with big windows for views and natural lighting, spacious rooms, a huge rec area and an indoor shop for your hobbies and kids. Oh, don't forget to view the cold room for wine enthusiasts! It’s one of those rare gems with a classic touch you can preserve or change into modern digs. Properties like this one don't last long. Take it before it’s gone, and make it your own. Act Fast.",Air Conditioning Clothes Dryer Clothes Washer Dishwasher Microwave Oven - Built In Pantry Smoke Alarm Swimming Pool Equip.,Paved Road Private Setting Private Yard Recreation Nearby Shopping Nearby, Air Cond./Central Pool; Indoor
R2724022,504 - 1238 BURRARD STREET,Active,Apartment,Vancouver,not sold,not sold,"$868,000",-,2,2,1,"$2,257 in 2022",2003,877,,-,Garage; Underground,36,504 - 1238 Burrard Street,,https://www.bccondosandhomes.com/listing/r2724022-504-1238-burrard-street,Oakwyn Realty Downtown Ltd.,"Well-laid out corner suite with the bedrooms on opposite corners of the home. This 2-bed + den (with a twin Murphy bed) in an Airbnb (short-term rentals) permitted building. The suite features 9’ ceilings, gas fireplace, a long wall of windows overlooking the new Burrard Place courtyard walkway, and space for a 4-person dining table. Living space ceilings have been freshly smoothed and the suite has been newly re-painted. The suite has been well-cared for and is in great condition. Furniture included. An excellent investment property in a rapidly evolving pocket of downtown. The Altadena was recently re-piped with a new lobby, party room, and hallways. Large, well-equipped gym. Window upgrade project approved and paid for. 1 parking stall included. Pets and rentals welcome!",-,-, Bike Room Exercise Centre In Suite Laundry Recreation Center Sauna/Steam Room
