MLS,Property,Status,Type,City,Sold Price,Sold Date,List Price,List Date,Bed,Bath,Kitchen,Tax,year,Floor,Lot,Levels,Parking,Photos,Address,GPS,URL,Agency,Description,Feature,Influence,Amenities
R2719668,24985 DEWDNEY TRUNK ROAD,Sold,House,Maple Ridge,"$1,030,000",09/08/2022,"$1,098,800",08/29/2022,3,2,1,"$3,924 in 2021",1959,"1,535",10500 SqFt.,-,"DetachedGrge/Carport,Open,RV Parking Avail.",39,"24985 Dewdney Trunk Rd, Maple Ridge, BC V4R 1X4, Canada","49.22063, -122.53012",https://www.bccondosandhomes.com/listing/r2719668-24985-dewdney-trunk-road,RE/MAX Sabre Realty Group,"Fantastic 3 Bed 2 Bath Rancher with a great layout for the growing family, this home has so much to offer with a amazing fully loaded Detached Shop with 3 phase power, offers loft and tons of storage, excellent for home based business, huge flat private back yard with newer fencing. Beautiful Pool with Gazebo and Hot tub, and large deck excellent for entertaining, this home has been lovingly cared for over the years with many updates, Bath reno 2 yrs ago, Fridge 1 yr. Sand in pool filter/main filters recent, Cast Iron wood stove (wett certified 4 yrs ago) great for those chilly days, roof on shop 5 yrs, 200 amp service and so much more. Close to shopping, schools, recreation, trails, Cliff Park.",ClthWsh/Dryr/Frdg/Stve/DW,Golf Course Nearby Marina Nearby Private Yard Recreation Nearby Shopping Nearby, In Suite Laundry Pool; Outdoor Swirlpool/Hot Tub
R2722491,1905 YEOVIL AVENUE,Sold,House,Burnaby,"$1,680,000",09/15/2022,"$1,575,000",09/12/2022,3,3,1,"$5,105 in 2022",1966,"2,700",6900 SqFt.,-,Carport; Multiple,29,"1905 Yeovil Ave, Burnaby, BC V5B 4M6, Canada","49.26698, -122.96217",https://www.bccondosandhomes.com/listing/r2722491-1905-yeovil-avenue,Keller Williams Elite Realty,"Ideal setting to raise a family. This charming home is just a 6 min walk to Sperling Elementary School and steps from Halifax Park. Located on a corner lot in a peaceful neighborhood this well kept home with original hardwood flooring must be seen to be appreciated. The basement layout is ideal to add a mortgage helper suite leaving you with three bedrooms upstairs and a huge recreation room and den downstairs to enjoy. The den could easily be converted into another bedroom. The back yard is a gardeners paradise with plenty of space for the kids and pets to play too. It’s a 20 min walk to skytrain, quick commuter access to Lougheed Hwy, Highway #1 and Hastings plus all the great shopping and dining at Amazing Brentwood. The location can’t be beat. ",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings,Central Location Private Setting Private Yard Recreation Nearby Shopping Nearby,-
R2718464,9171 CHAPMOND CRESCENT,Sold,House,Richmond,"$1,883,000",09/02/2022,"$1,889,000",08/23/2022,4,2,1,"$4,837 in 2021",1963,"2,300",7031 SqFt.,-,Garage; Single,40,"9171 Chapmond Crescent, Richmond, BC V7E 1M6, Canada","49.14249, -123.19041",https://www.bccondosandhomes.com/listing/r2718464-9171-chapmond-crescent,RE/MAX Select Properties,"This unique gem is located in Seafair Monds neighbourhood, offering 4 bedrooms & 2 full bath. New addition & extensive renovations in 2010 & 2015 with permit. Open Concept Living, Dining, Kitchen, partial raised ceiling and skylight. Beautiful Oak Hardwood floors, German Siematic Kitchen, Granite c/tops, Bertazzoni Cooktop, B/I Ovens and Microwave, Duravit Bathroom Sinks & Cabinetry. Spacious Office area with Recreation Room Downstair; suite potential with seperate entrance and laundry. Beautiful sundeck with concrete pavers. Heated & insulated garage. Professional designed garden complete w/greenhouse, patios, perennial gardens. Walking distance to west dyke, restaurant, shopping and French immersion elementary and Hugh Boyd High.",ClthWsh/Dryr/Frdg/Stve/DW Microwave Range Top Smoke Alarm,-,-
R2719758,3402 22ND AVENUE,Sold,House,Vancouver,"$2,300,000",09/10/2022,"$2,288,000",08/29/2022,3,2,1,"$8,612 in 2022",1934,"1,817",3782 SqFt.,-,Carport; Single,30,"3402 W 22nd Ave, Vancouver, BC V6S 1J2, Canada","49.25258, -123.18029",https://www.bccondosandhomes.com/listing/r2719758-3402-w-22nd-avenue,Luxmore Realty,"Investor Alert! A great opportunity to rent out or reno for your dream house at Dunbar! 3782 sqft lot and well maintained 1817 sqft interior area. Updated family home with 3 bedrooms, 2 baths. Cross hall living & dining rooms. Beautiful H/W floor on main, renovated kitchen, full height 8' basement, potential 1 bed rental suite with separate entrance. Close to Lord Kitchener, Carnarvon Community Elementary School; St. George's, Lord Byng, Crofton House Secondary School. Act fast, Won't last! ",ClthWsh/Dryr/Frdg/Stve/DW,-,-
R2708558,20150 81 AVENUE,Sold,Townhouse,Langley,"$1,100,000",09/11/2022,"$1,175,000",07/11/2022,4,4,1,,2021,"1,971",,-,Garage; Double,37,"20150 81 Ave #23, Langley Twp, BC V2Y 3L8, Canada","49.14862, -122.66436",https://www.bccondosandhomes.com/listing/r2708558-23-20150-81-avenue,Royal LePage - Wolstencroft,"Just like new WITHOUT the GST! Built by reputable builder Essence Properties, Verge was build for a life of luxury! This 4 bedroom ( all VERY generously sized! ), 3.5 bathroom ( powder on the main ) has it all! A light and airy living space is created with the warm, bright colour tones, high ceilings, open concept living, large windows, light wide plank laminate floors, and a deck to fit everyone. From the hardware & plumbing fixtures, to the cabinetry, and walk in master closet, this home has something for everyone! A lively family friendly lifestyle awaits in an exclusive clubhouse, featuring an outdoor pool and hot tub, indoor and outdoor lounges, dedicated spaces for kids, and more. If the pool doesn't cool you off on those hot summer days, don't worry as this home comes with A/C!!",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Microwave,Cul-de-Sac Recreation Nearby Shopping Nearby, Club House In Suite Laundry Playground Pool; Outdoor
R2714321,216 - 13728 108 AVENUE,Sold,Apartment,Surrey,"$375,000",08/12/2022,"$415,000",08/03/2022,1,1,1,"$1,419 in 2022",2012,425,,-,"Garage; Underground,None,Visitor Parking",20,"13728 108 Ave #216, Surrey, BC V3T 0G2, Canada","49.19867, -122.84173",https://www.bccondosandhomes.com/listing/r2714321-216-13728-108-avenue,Wynn Real Estate Ltd.,"Cozy, Charming & Bright Junior 1 Bedroom suite at the trendy Quattro 3 Bldg. Quiet inside unit overlooking the courtyard and lovely gardens. Featuring Open Floor Plan, S/S Appliances, Granite Counters and White Glossy Cabinets, Beautiful Hardwood Floors, Fireplace, 9' Ceilings & Freshly Painted in design colors. Located in Surrey's fastest growing area, within walking distance to Surrey Central Mall, SFU, Gateway Skytrain Station, Public Library & Civic Plaza. Easy commute, only 35 minutes to Vancouver by Skytrain. Vacant and in move-in condition. Bonus: 1 Locker, Rentals Allowed & Pets Friendly! Shows very well, you won't be disappointed!! G O N E!!!",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Microwave Smoke Alarm Sprinkler - Fire,Central Location Shopping Nearby, Elevator Exercise Centre Garden In Suite Laundry
R2716076,105 - 6677 CAMBIE STREET,Sold,Apartment,Vancouver,"$1,170,000",09/05/2022,"$1,249,000",08/11/2022,2,2,1,"$2,965 in 2022",2016,"1,075",,-,Garage; Underground,30,"6677 Cambie St #105, Vancouver, BC V6P 3H1, Canada","49.24545, -123.11531",https://www.bccondosandhomes.com/listing/r2716076-105-6677-cambie-street,Sutton Group - Vancouver First Realty,"Welcome to Cambria by Mosaic! RARELY AVAILABLE, 2 PARKING STALLS (1 stall is larger than normal and close to elevator) QUIET SIDE OF THE BUILDING. Gated and secured with no public access. 5-min walk to Canada Line. Churchill High School/Jamieson Elementary/Langara College. Strong CRF over $300k. Owner occupied since new, like new condition. 1 storage locker. 2 bd 2 bath + large den/storage, 1,075sf. 9' ceilings, large windows throughout. Private balcony with mature cedars + enclosed landscaping, outdoor wooden tiles, water hookup and electric plug for all your gardening needs. Radiant in-floor heating, Chef's kitchen with high-end Miele appliances, large kitchen island, ample pantry storage w/ integrated cabinets. Naturally cooler unit w/o AC - temps under 28C! Well managed 50k deductible",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Golf Course Nearby Lane Access Private Setting Recreation Nearby Shopping Nearby, Bike Room Elevator In Suite Laundry Playground Storage
R2713611,1903 - 999 SEYMOUR STREET,Sold,Apartment,Vancouver,"$915,000",09/07/2022,"$935,000",08/02/2022,2,1,1,"$2,356 in 2022",2014,723,,-,"Garage Underbuilding,Garage; Underground",29,"999 Seymour St #1903, Vancouver, BC V6B 3M1, Canada","49.27916, -123.12122",https://www.bccondosandhomes.com/listing/r2713611-1903-999-seymour-street,Macdonald Realty,"2 bed + flex CORNER unit features nearly 860 sqft of indoor/outdoor living perched up on the 19th floor with panoramic views over Yaletown, central Downtown and beyond. Perfect for owner occupiers and investors alike (30 day rentals permitted), this home features a HUGE 22’ foot long balcony ideal for entertaining and soaking up the sun. Upgrades include all new designer floors/paint, stylish drapes/blinds, new dishwasher/washer. Central downtown location mere steps to Yaletown restaurants, Robson shopping, Skytrain and the Seawall. Reputable concrete building constructed by award-winning Townline features fantastic building amenities including BBQ/lounge area, exercise centre, meeting room, and more. 1 Parking/Locker included. Pets and Rentals (30 day+) allowed.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Smoke Alarm Sprinkler - Fire,Central Location Recreation Nearby Shopping Nearby, Bike Room Elevator Exercise Centre In Suite Laundry Recreation Center Storage
R2716916,404 - 38013 THIRD AVENUE,Sold,Apartment,Squamish,"$515,000",09/10/2022,"$535,000",08/16/2022,1,1,1,"$1,759 in 2021",2019,593,,-,Garage; Underground,16,404 - 38013 Third Avenue,,https://www.bccondosandhomes.com/listing/r2716916-404-38013-third-avenue,Royal LePage Black Tusk Realty,"Beautiful and Bright, East-facing, 4th floor condo with an incredible view of The Chief! This 1 bed, 1 bath unit is found in the newer complex called ""The Lauren"" and has a spacious floor plan. Modern features include s/s appliances, quartz countertops, laminate and tile flooring, in-suite laundry, large windows and an over-sized deck. Includes one parking stall and a spacious storage locker. Enjoy access to a roof-top deck complete with patio furniture & a natural gas b-b-q. Located in Downtown Squamish, away from the main strip, but easy walking distance to shops, restaurants, trails, marina and the upcoming oceanfront development.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener Microwave Smoke Alarm Sprinkler - Fire Windows - Thermo,Central Location Golf Course Nearby Marina Nearby Recreation Nearby Shopping Nearby, Bike Room Elevator In Suite Laundry Storage
R2717775,4001 OLD CLAYBURN ROAD,Sold,Townhouse,Abbotsford,"$632,500",09/11/2022,"$689,000",08/19/2022,2,2,1,"$2,308 in 2022",1994,"1,444",,-,Garage; Single,40,"4001 Old Clayburn Rd #49, Abbotsford, BC V3G 1C5, Canada","49.06094, -122.25942",https://www.bccondosandhomes.com/listing/r2717775-49-4001-old-clayburn-road,RE/MAX Colonial Pacific Realty,"Desirable Cedar Springs, a gated complex with tons of green space. This clean, Fraser Style, one level ground floor unit is in a duplex building with great privacy at the back of the unit and wide open space at the side. Patio's at both front and back. The spacious master suite has a 5 pc en suite, a jacuzzi tub, a walk-in closet plus an additional storage area. There is a cozy family room off the updated kitchen, a spacious living area, a single garage plus an additional parking spot out front. Situated in a very quiet part of the complex just steps from the community center which has a pool, sauna, hot tub, exercise room, games room, and a library, all overlooking the pond. There is RV parking and lots of visitors parking. ",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener Jetted Bathtub,Central Location Gated Complex Golf Course Nearby Private Setting Private Yard Shopping Nearby, Club House Exercise Centre In Suite Laundry Pool; Indoor Recreation Center Swirlpool/Hot Tub Wheelchair Access
